,perf
2010-07-19,
2010-07-20,0.0010598073320845598
2010-07-21,0.0006756756756756758
2010-07-22,0.000837837837837838
2010-07-23,0.0007297297297297297
2010-07-26,0.0008027829810008029
2010-07-27,0.0007880652930157881
2010-07-28,0.0009352421728659353
2010-07-29,0.0008389082151458389
2010-07-30,0.0009078137543484078
2010-08-02,0.0008027829810008029
2010-08-03,0.0007626438319507628
2010-08-04,0.0008161626973508162
2010-08-05,0.0008335563286058337
2010-08-06,0.0007894032646507895
2010-08-09,0.0009365801445009367
2010-08-10,0.0008964409954508964
2010-08-11,0.0009365801445009366
2010-08-12,0.000862991704575863
2010-08-13,0.0008964409954508964
2010-08-16,0.0009365801445009366
2010-08-17,0.0009098207118009099
2010-08-18,0.0008924270805458923
2010-08-19,0.0008763714209258763
2010-08-20,0.0008884131656408883
2010-08-23,0.0008696815627508696
2010-08-24,0.0008670056194808669
2010-08-25,0.0008563018464008562
2010-08-26,0.0008696815627508695
2010-08-27,0.0008576398180358575
2010-08-30,0.0008027829810008024
2010-08-31,0.0008415841584158412
2010-09-01,0.0008482740165908478
2010-09-02,0.0008141557398983137
2010-09-03,0.0008346267059138342
2010-09-06,0.0008161626973508158
2010-09-07,0.0008295424137008292
2010-09-08,0.0008176344661493173
2010-09-09,0.0008268664704308264
2010-09-10,0.0008517527428418513
2010-09-13,0.0008294086165373289
2010-09-14,0.0008081348675408078
2010-09-15,0.0008282044420658278
2010-09-16,0.0007894032646507891
2010-09-17,0.0008161626973508159
2010-09-20,0.000838239229328338
2010-09-21,0.0008322183569708319
2010-09-22,0.0008336901257693334
2010-09-23,0.0008322183569708319
2010-09-24,0.0008298100080278296
2010-09-27,0.0008282044420658279
2010-09-28,0.0008283382392293282
2010-09-29,0.000828204442065828
2010-09-30,0.0008291410222103292
2010-10-01,0.0008215145838908214
2010-10-04,0.0008215145838908214
2010-10-05,0.0008403799839443403
2010-10-06,0.0008964409954508964
2010-10-07,0.001162028364998662
2010-10-08,0.001255017393631255
2010-10-11,0.0012697350816162699
2010-10-12,0.001404870216751405
2010-10-13,0.0013647310677013646
2010-10-14,0.001404870216751405
2010-10-15,0.0013513513513513516
2010-10-18,0.001297832485951298
2010-10-19,0.0013245919186513247
2010-10-20,0.0014316296494514317
2010-10-21,0.0013714209258763712
2010-10-22,0.0014115600749264115
2010-10-25,0.0020109713674070105
2010-10-26,0.0025113727588975112
2010-10-27,0.002316028900187316
2010-10-28,0.0025421461065025424
2010-10-29,0.002661225582017661
2010-11-01,0.002615734546427616
2010-11-02,0.002592989028632593
2010-11-03,0.0025836232271875836
2010-11-04,0.0030773347605030778
2010-11-05,0.003478726251003479
2010-11-08,0.0032512710730532505
2010-11-09,0.0028097404335028094
2010-11-10,0.00321113192400321
2010-11-11,0.0029850147176879844
2010-11-12,0.0035884399250735877
2010-11-15,0.0035884399250735877
2010-11-16,0.0029836767460529835
2010-11-17,0.0030759967888680756
2010-11-18,0.0035830880385335825
2010-11-19,0.003746320578003746
